"","","Node.number","Edge.number","Positive.edge","Negative.edge","Average.degree","Diameter","Clustering.coefficient","Average.path.length","Modularity","Centralization.closeness","Centralization.betweenness","Edge.connectivity","Average.neighborhood","Connectance","Nestedness"
"topo",Bacteria_5120m_sample_1,486,3976,3665,311,16.3621399176955,15,0.486857054824857,3.99181988528816,0.358268954774927,0.00586616666857313,0.0697068500894435,0,17.3621399176955,0.0337363709643206,0.0659285121773721
"topo",Bacteria_5120m_sample_2,433,2466,2163,303,11.3903002309469,13,0.42194877664902,4.05975411554996,0.531125825418721,0.00487890319663906,0.0560466980974588,0,12.3903002309469,0.0263664357197845,0.0484090557666662
"topo",Bacteria_5120m_sample_3,499,4160,3842,318,16.6733466933868,15,0.483106207031537,3.95204943468523,0.337190938193417,0.00569754462686428,0.0706001283013219,0,17.6733466933868,0.0334806158501742,0.0656847526462697
"topo",Bacteria_5120m_sample_4,482,3846,3517,329,15.9585062240664,14,0.471496825708489,3.95963628516499,0.44699935423314,0.00545472527319908,0.0784531731325376,0,16.9585062240664,0.0331777676176016,0.0639069034976933
"topo",Bacteria_5120m_sample_5,491,4038,3736,302,16.4480651731161,15,0.488002802995702,3.98779491705238,0.343932370072229,0.00555085610101538,0.0702521117380002,0,17.4480651731161,0.0335674799451349,0.0658728843156094
"topo",Bacteria_5120m_sample_6,434,2662,2353,309,12.2672811059908,16,0.448727219065889,4.23066033599339,0.50996077752897,0.00541626394517071,0.0768307254725066,0,13.2672811059908,0.0283309032470919,0.0526154364117641
"topo",Bacteria_5120m_sample_7,490,4012,3714,298,16.3755102040816,15,0.488121546961326,3.99506845698337,0.353834961963561,0.00556975408925445,0.0770609436734976,0,17.3755102040816,0.0334877509285923,0.0660495167040875
"topo",Bacteria_5120m_sample_8,458,3036,2713,323,13.2576419213974,16,0.445421864584325,4.11871523732055,0.486882324273844,0.00540050593149587,0.0660049319130583,0,14.2576419213974,0.0290101573772372,0.0547135549246538
"topo",Bacteria_5120m_sample_9,491,4070,3759,311,16.5784114052953,15,0.486055455616897,3.96653960981655,0.351489384179802,0.00554816980845835,0.0704529667786667,0,17.5784114052953,0.033833492663868,0.0664413107697129
"topo",Bacteria_5120m_sample_10,491,4125,3802,323,16.8024439918534,15,0.489318065287985,3.96593173371887,0.429281175390266,0.00590060982931299,0.0744135796147204,0,17.8024439918534,0.0342907020241905,0.06555785127367
"topo",Bacteria_5120m_sample_11,476,3920,3625,295,16.4705882352941,15,0.489593080599884,3.99102377733275,0.351550981361932,0.00531837449975242,0.0764989472088637,0,17.4705882352941,0.0346749226006192,0.0690677412831622
"topo",Bacteria_5120m_sample_12,478,3670,3346,324,15.3556485355649,15,0.481509953066839,3.99520718921618,0.469976464299237,0.00539764511692895,0.0846658350472319,0,16.3556485355649,0.0321921352946852,0.0607325994102735
"topo",Bacteria_5120m_sample_13,499,4083,3768,315,16.3647294589178,15,0.485458849257876,3.9792696035481,0.345023801670085,0.0056152503367603,0.0688187294873003,0,17.3647294589178,0.0328609025279475,0.0642607296061128
"topo",Bacteria_5120m_sample_14,468,3070,2751,319,13.1196581196581,15,0.450690369953975,4.07448981763241,0.509228479877771,0.00506661486047064,0.0793574420885619,0,14.1196581196581,0.0280934863375977,0.053114701454195
"topo",Bacteria_5120m_sample_15,482,3957,3667,290,16.4190871369295,15,0.49045545456847,4.0028515625,0.34338793917351,0.00563255190860117,0.0717157574372944,0,17.4190871369295,0.0341353162929926,0.0673111883581428
"topo",Bacteria_5120m_sample_16,473,3609,3286,323,15.2600422832981,15,0.471258066927466,3.95284117739651,0.470253240701393,0.00487688680976615,0.0805461862142647,0,16.2600422832981,0.0323305980578349,0.0616324535855764
"topo",Bacteria_5120m_sample_17,489,4059,3744,315,16.601226993865,15,0.485496750232126,3.97604948515822,0.351892275557842,0.0056753756100438,0.0728185056696349,0,17.601226993865,0.0340189077743136,0.0671019590993047
"topo",Bacteria_5120m_sample_18,498,4006,3675,331,16.0883534136546,15,0.481115775595878,3.94689623266235,0.460692573222044,0.00548827451230086,0.0691271415209459,0,17.0883534136546,0.0323709324218403,0.0620007223891136
"topo",Bacteria_5120m_sample_19,498,4112,3793,319,16.5140562248996,15,0.483831090555733,3.9390538312274,0.334467178250238,0.005470340718346,0.0685594714169666,0,17.5140562248996,0.0332274773136813,0.0656085166175104
"topo",Bacteria_5120m_sample_20,460,3078,2760,318,13.3826086956522,15,0.458099411200876,4.10102402520677,0.49632914379902,0.0053088174012593,0.0854655674118593,0,14.3826086956522,0.029156010230179,0.0544918018085568
